#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"103,258,063","+1,688","1,479,802",+11,"97,104,243","+4,032","4,674,018","8,172",,,,,,North America,,,,,,,
,,Asia,,"159,048,701","+123,013","1,435,349",+164,"153,097,659","+168,548","4,515,693","10,565",,,,,,Asia,,,,,,,
,,South America,,"58,506,075",+396,"1,301,112",,"55,484,654",+497,"1,720,309","10,530",,,,,,South America,,,,,,,
,,Europe,,"198,869,376","+5,594","1,848,000",+87,"190,495,118","+78,092","6,526,258","5,764",,,,,,Europe,,,,,,,
,,Oceania,,"9,227,492","+31,944","13,090",+50,"8,873,559","+5,882","340,843",135,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,207,688",,"255,338",,"11,414,180",,"538,170",988,,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"541,118,116","+162,635","6,332,706",+312,"516,470,119","+257,051","18,315,291","36,154","69,420",812.4,,,,All,,,,,,,
100,North Macedonia,"312,607",,"9,316 ",,"302,892",,399,,"150,060","4,472","2,057,112","987,473","2,083,208 ",Europe,72241,,,192
101,Botswana,"310,431",,"2,701 ",,"304,887",,"2,843",1,"127,021","1,105","2,026,898","829,358","2,443,936 ",Africa,89051,,,"1,163"
102,Albania,"276,731",,"3,497 ",,"272,893",,341,2,"96,365","1,218","1,835,130","639,042","2,871,689 ",Europe,108212,,,119
103,Algeria,"265,937",,"6,875 ",,"178,442",,"80,620",6,"5,859",151,"230,861","5,086","45,390,507 ",Africa,"1716,602197",,,"1,776"
104,Nigeria,"256,352",,"3,144 ",,"250,131",,"3,077",11,"1,186",15,"5,198,572","24,060","216,071,476 ",Africa,"84368,72542",,,14
105,Zimbabwe,"254,155",,"5,521 ",,"246,556",,"2,078",12,"16,629",361,"2,361,244","154,495","15,283,591 ",Africa,"602,7686",,,136
106,Luxembourg,"251,873",,"1,084 ",,"245,443",,"5,346",,"390,030","1,679","4,275,297","6,620,382","645,778 ",Europe,35960,,,"8,278"
107,Uzbekistan,"239,272",,"1,637 ",,"237,441",,194,23,"6,953",48,"1,377,915","40,041","34,412,290 ",Asia,"14421,02225",,,6
108,Montenegro,"237,945",,"2,722 ",,"234,768",,455,6,"378,760","4,333","2,485,184","3,955,907","628,221 ",Europe,32310,,,724
109,Mozambique,"226,481",,"2,206 ",,"223,783",,492,13,"6,872",67,"1,335,374","40,518","32,957,580 ",Africa,"14614,94025",,,15
